产量/t,场景数,平均吨氨成本,最小吨氨成本,最大吨氨成本,平均购电量,平均上网量,平均自发自用占比,平均绿电比例,平均上网比例
36,24,6432.591979745371,3596.2143944444447,9165.215897222222,253.025025,170.28035833333334,0.46827418229377415,0.5471344770189003,0.265862908853113
45,24,6787.984913240741,4256.028182222222,9346.179384444444,304.471875,97.22720833333335,0.7284200488234345,0.5543574909985071,0.1357899755882828
54,24,7146.764158719136,4695.90404074074,9589.962803703704,381.33475833333335,49.59009166666667,0.8707973998477211,0.5278874383037025,0.0646013000761395
63,24,7683.422375132275,5155.4153396825395,10043.90145079365,489.8533,33.60863333333334,0.9123808093752999,0.4745303683679818,0.0438095953123501
72,24,8293.781548553241,6001.41146388889,10384.35543611111,614.2966583333333,33.551991666666666,0.9125563153400268,0.418676036856184,0.04372184232998641
