产量/t,场景,异常指标,方向,指标值,箱线图下界,箱线图上界,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定
45,W4P1,上网/MWh,偏高,382.65819999999997,-72.08115000000002,333.57285,4253.1507622222225,188.95420000000001,382.65819999999997,0.12727169059120294,0.7234357893504288,0.43636415470439854,部分满足
45,W5P1,上网/MWh,偏高,348.9502,-72.08115000000002,333.57285,4525.604175555554,212.7502,348.9502,0.14829952893510046,0.688606598167501,0.4258502355324497,部分满足
54,W1P1,上网/MWh,偏高,189.1162,-28.472399999999993,164.8972,5158.343320370371,235.0722,189.1162,0.5034782426053214,0.7089682068043381,0.24826087869733934,部分满足
54,W3P1,上网/MWh,偏高,202.9564,-28.472399999999993,164.8972,5104.0882,229.8364,202.9564,0.48015880333999267,0.7154504036052096,0.25992059833000364,部分满足
54,W4P1,上网/MWh,偏高,258.15819999999997,-28.472399999999993,164.8972,4693.506190740741,188.95420000000001,258.15819999999997,0.4112187601206033,0.7660647253998911,0.2943906199396983,部分满足
54,W5P1,上网/MWh,偏高,234.0924,-28.472399999999993,164.8972,4961.5300518518525,222.3924,234.0924,0.4286387932928166,0.7246664685782204,0.2856806033535915,部分满足
54,W6P1,上网/MWh,偏高,165.47039999999998,-28.472399999999993,164.8972,5398.563292592594,257.4304,165.47039999999998,0.5376371968257514,0.6812875749021939,0.23118140158712416,部分满足
63,W1P1,上网/MWh,偏高,156.1702,-47.177025,119.16277500000001,5739.9957507936515,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足
63,W3P1,上网/MWh,偏高,159.9144,-47.177025,119.16277500000001,5656.713076190476,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足
63,W4P1,上网/MWh,偏高,191.536,-47.177025,119.16277500000001,5272.31633968254,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足
63,W5P1,上网/MWh,偏高,192.50639999999999,-47.177025,119.16277500000001,5539.824377777777,305.3064,192.50639999999999,0.5301398550194041,0.6724953337195083,0.234930072490298,部分满足
63,W6P1,上网/MWh,偏高,123.0004,-47.177025,119.16277500000001,5911.204012698413,339.4604,123.0004,0.6563082597518722,0.6358580592563987,0.17184587012406394,全满足
63,W1P1,自发自用占比,偏低,0.5899774733381993,0.6414863505395032,1.0790771044515344,5739.9957507936515,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足
63,W3P1,自发自用占比,偏低,0.5904041801137238,0.6414863505395032,1.0790771044515344,5656.713076190476,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足
63,W4P1,自发自用占比,偏低,0.5631639685993314,0.6414863505395032,1.0790771044515344,5272.31633968254,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足
63,W5P1,自发自用占比,偏低,0.5301398550194041,0.6414863505395032,1.0790771044515344,5539.824377777777,305.3064,192.50639999999999,0.5301398550194041,0.6724953337195083,0.234930072490298,部分满足
63,W1P1,上网比例,偏高,0.20501126333090042,-0.03953855222576709,0.17925682473024843,5739.9957507936515,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足
63,W3P1,上网比例,偏高,0.20479790994313818,-0.03953855222576709,0.17925682473024843,5656.713076190476,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足
63,W4P1,上网比例,偏高,0.21841801570033437,-0.03953855222576709,0.17925682473024843,5272.31633968254,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足
63,W5P1,上网比例,偏高,0.234930072490298,-0.03953855222576709,0.17925682473024843,5539.824377777777,305.3064,192.50639999999999,0.5301398550194041,0.6724953337195083,0.234930072490298,部分满足
72,W1P1,上网/MWh,偏高,135.324,-44.6862,74.477,6495.532227777778,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
72,W2P1,上网/MWh,偏高,89.61199999999998,-44.6862,74.477,6901.383894444445,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足
72,W3P1,上网/MWh,偏高,126.36819999999999,-44.6862,74.477,6347.782804166667,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足
72,W4P1,上网/MWh,偏高,173.706,-44.6862,74.477,6001.41146388889,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足
72,W5P1,上网/MWh,偏高,158.64419999999998,-44.6862,74.477,6243.642109722223,395.9442,158.64419999999998,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足
