产量/t,离散平均吨氨成本,连续平均吨氨成本,平均成本变化,离散平均购电,连续平均购电,平均购电变化,离散平均上网,连续平均上网,平均上网变化,自发自用占比变化,绿电比例变化,上网比例变化
36,6716.044834953704,6432.591979745371,-283.4528552083334,297.9932,253.025025,-44.968174999999995,215.2485333333333,170.28035833333334,-44.968175,0.2933334552675169,0.08048427656071018,-0.14666672763375843
45,7068.093841018519,6787.984913240741,-280.1089277777779,355.49304166666667,304.471875,-51.02116666666668,148.248375,97.22720833333335,-51.02116666666666,0.3055885011008877,0.07467750748904695,-0.15279425055044385
54,7391.137009413581,7146.764158719136,-244.37285069444488,417.36071666666663,381.33475833333335,-36.025958333333335,85.61604999999999,49.59009166666667,-36.02595833333332,0.19679799804249296,0.04460203824757752,-0.09839899902124645
63,7793.115397156085,7683.422375132275,-109.69302202380932,509.617025,489.8533,-19.763725000000026,53.37235833333333,33.60863333333334,-19.763725,0.08637945883340607,0.02120070906009311,-0.043189729416703015
72,8293.781548553241,8293.781548553241,0.0,614.2966583333333,614.2966583333333,0.0,33.551991666666666,33.551991666666666,0.0,0.0,0.0,0.0
