产量/t,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.41666666666667,99.50000000000001,99.83333333333334,91.12499999999999,94.54166666666667,92.70833333333334,93.83333333333333,77.75000000000001,99.95833333333333,99.41666666666666,98.625,38.083333333333336,20.208333333333336,13.833333333333334,94.74999999999999,86.41666666666667,100.0
54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,92.41666666666667,93.16666666666667,56.66666666666666,60.87499999999999,67.50000000000001,71.33333333333334,55.50000000000001,95.66666666666666,85.79166666666666,77.33333333333333,23.04166666666667,15.04166666666667,13.0,56.49999999999999,47.16666666666665,100.0
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.91666666666666,70.33333333333334,78.99999999999999,51.416666666666664,48.70833333333333,61.583333333333336,53.91666666666666,43.00000000000001,61.12499999999999,50.79166666666666,37.91666666666667,16.375,13.958333333333336,11.916666666666668,19.541666666666668,11.500000000000005,100.0
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.375000000000014,37.916666666666664,31.208333333333332,28.70833333333333,31.624999999999996,39.416666666666664,36.75,26.20833333333334,27.125,24.291666666666668,15.125,14.416666666666666,12.708333333333336,11.375000000000002,11.58333333333334,11.166666666666671,100.0
