产量/t,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.16666666666666,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,25.0,16.666666666666664,0.0,95.83333333333334,100.0,100.0
54,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,100.0,100.0,45.83333333333333,54.166666666666664,83.33333333333334,100.0,70.83333333333334,100.0,100.0,70.83333333333334,0.0,0.0,0.0,45.83333333333333,45.83333333333333,100.0
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,70.83333333333334,87.5,29.166666666666668,33.33333333333333,50.0,54.166666666666664,54.166666666666664,95.83333333333334,87.5,50.0,0.0,0.0,0.0,12.5,25.0,100.0
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.5,45.83333333333333,45.83333333333333,12.5,16.666666666666664,33.33333333333333,37.5,33.33333333333333,75.0,29.166666666666668,20.833333333333336,0.0,0.0,0.0,8.333333333333332,4.166666666666666,100.0
