产量/t,W4P1,W5P1,W3P1,W1P1,W6P1,W2P1,W4P2,W5P2,W3P2,W1P2,W6P2,W4P3,W2P2,W5P3,W4P4,W3P3,W1P3,W5P4,W6P3,W3P4,W1P4,W2P3,W6P4,W2P4
36,3596.2143944444447,3933.18438611111,4166.988108333334,4329.526563888889,4559.396497222221,5016.372063888888,5434.625061111111,5771.595052777777,6005.398775,6167.937230555555,6397.807163888888,6622.111283333334,6854.782730555555,6959.081275,7085.185061111111,7192.884997222222,7355.423452777778,7436.90136111111,7651.682469444443,7846.4749833333335,8032.397255555556,8258.668927777777,8542.352522222222,9165.215897222222
45,4256.028182222222,4525.604175555554,4712.647153333333,4842.677917777778,5026.573864444444,5392.154317777778,5726.756715555555,5996.332708888889,6183.375686666667,6313.406451111111,6497.302397777777,6818.575253333333,6862.8828511111105,7262.0698,7519.139562222222,7591.811284444445,7739.5632422222225,7963.2627088888885,8135.352642222222,8291.186653333334,8439.924471111111,8620.941808888889,8847.888684444446,9346.179384444444
54,4695.90404074074,4920.550701851851,5076.419849999999,5184.778820370369,5338.025442592592,5642.675820370369,5921.5111518518515,6275.503135185186,6524.331422222222,6662.488087037037,6962.956153703703,7360.484933333333,7367.703692592592,7730.063722222222,7944.433451851852,8004.848292592593,8127.974924074074,8314.391146296297,8457.799424074074,8625.284166666666,8780.610137037038,8862.457062962963,9151.181425925924,9589.962803703704
63,5155.4153396825395,5417.867006349206,5535.1343857142865,5672.749926984127,5794.699726984127,6136.580403174603,6499.805925396826,6817.578877777778,7030.8602666666675,7168.203131746032,7435.635507936508,8005.945514285714,7811.733831746032,8304.950428571428,8632.814339682542,8590.165222222222,8723.301768253968,8931.819253968255,9040.934301587302,9217.034047619049,9350.170593650793,9417.032625396827,9667.803126984127,10043.90145079365
72,6001.41146388889,6243.642109722223,6347.782804166667,6495.532227777778,6578.551456944445,6901.383894444445,7248.680518055556,7516.213163888887,7729.670024999999,7868.119406944445,8102.1227361111105,8601.143991666666,8431.208769444444,8862.773291666666,9149.65421388889,9112.336236111112,9228.830713888889,9411.283513888888,9506.759180555557,9660.846458333333,9777.340936111112,9835.84521388889,10055.269402777776,10384.35543611111
