自治口径,配置口径,风电扩容系数,光伏扩容系数,风电/MW,光伏/MW,总装机/MW,说明
电量自治,等比放大,2.2201150479786764,2.2201150479786764,88.80460191914706,142.0873630706353,230.89196498978237,全年总发电量不低于全年总用电量，保持40:64风光比例
电量自治,分别优化,4.072211960138013,0.0,162.88847840552052,0.0,162.88847840552052,全年总发电量不低于全年总用电量，最小化风电+光伏装机
逐小时满产功率自治,等比放大,28.907640750670243,28.907640750670243,1156.3056300268097,1850.0890080428956,3006.3946380697053,极端保守上界，所有场景所有小时满产功率均满足
逐小时满产功率自治,分别优化,28.907640750670243,0.0,1156.3056300268097,0.0,1156.3056300268097,极端保守上界，最小化风电+光伏装机
