产量/t,全年产量,全年总成本,全年平均吨氨成本
36,12960,87039941.06099999,6716.044834953703
45,16200,114503120.2245,7068.093841018518
54,19440,143683703.463,7391.13700941358
63,22680,176747857.2075,7793.115397156085
72,25920,214974817.7385,8293.781548553241
