产量/t,全年产量,全年总成本,全年平均吨氨成本
36,12960,83366392.0575,6432.591979745371
45,16200,109965355.5945,6787.984913240741
54,19440,138933095.2455,7146.764158719136
63,22680,174260019.468,7683.422375132275
72,25920,214974817.7385,8293.781548553241
