模式,年产量/t,平均吨氨成本/元,产能利用率
并网-问题二离散,12960.0,6716.044834953703,0.5
并网-问题三连续,12960.0,6432.591979745371,0.5
离网-无储能,9781.55739759036,7000.629699000405,0.37737489959839354
离网-155MWh储能,10623.837117564552,7571.731781682131,0.40987025916529907
并网-同离网储能产量,10624.05,6321.974343682494,0.4098784722222222
