场景,产量/t,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,吨氨成本/元,判定,开机小时
typical,72,493.9522,40.680199999999985,0.8651741326510318,0.5325609432962375,0.06741293367448395,7330.250648611112,全满足,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
typical,63,376.0424,47.27039999999998,0.8433323169519163,0.5966162493831928,0.07833384152404181,6597.901374603174,全满足,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
typical,54,264.1404,59.86839999999998,0.8015789264360806,0.6729802406774625,0.09921053678195964,6072.754214814814,全满足,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
typical,45,227.684,147.912,0.509777147326696,0.666748631480343,0.24511142633665206,5722.320751111111,部分满足,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,23"
typical,36,225.3022,270.0302,0.10504235659079171,0.5967529352806414,0.4474788217046042,5413.896130555555,部分满足,"0,1,2,3,4,5,6,9,11,12,14,23"
