产量/t,W4P1,W5P1,W3P1,W1P1,W6P1,W2P1,W4P2,W5P2,W3P2,W1P2,W6P2,W4P3,W2P2,W5P3,W4P4,W3P3,W1P3,W5P4,W6P3,W3P4,W1P4,W2P3,W6P4,W2P4
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,659.8137877777776,592.4197894444442,545.6590449999994,513.1513538888894,467.17736722222253,375.7822538888895,292.1316544444444,224.7376561111123,177.97691166666755,145.4692205555557,99.49523388888883,196.4639699999998,8.100120555555804,302.98852500000066,433.9545011111104,398.9262872222225,384.13978944444443,526.3613477777781,483.67017277777904,444.7116700000006,407.5272155555558,362.27288111111193,305.53616222222445,180.96348722222137
54,1099.6896462962955,987.3663157407409,909.4317416666654,855.2522564814808,778.6289453703712,626.3037564814813,486.88609074074066,503.908082407409,518.9326472222219,494.5508564814818,565.1489898148156,738.3736499999995,512.9209620370375,770.9824472222226,859.2483907407404,811.9632953703704,772.5514712962959,877.4897851851865,806.1169546296305,778.8091833333328,748.2128814814823,603.7881351851865,608.828903703703,424.74690648148135
63,1559.2009452380948,1484.6826202380962,1368.1462773809526,1343.2233630952387,1235.3032297619056,1120.2083392857148,1065.180864285715,1045.9838250000012,1025.4614916666678,1000.265901190477,1037.8283440476198,1383.8342309523805,956.951101190477,1345.8691535714288,1547.6292785714304,1397.2802249999995,1367.8783154761904,1494.9178928571446,1389.2518321428588,1370.559064285715,1317.7733380952377,1158.36369761905,1125.4506047619052,878.6855535714276
72,2405.197069444445,2310.4577236111127,2180.794695833333,2166.005663888889,2019.1549597222238,1885.011830555557,1814.0554569444448,1744.61811111111,1724.2712499999998,1700.1821763888893,1704.3155722222227,1979.0327083333323,1576.4260388888888,1903.6920166666669,2064.4691527777795,1919.4512388888897,1873.4072611111105,1974.3821527777773,1855.0767111111136,1814.371475,1744.943680555556,1577.1762861111129,1512.9168805555546,1219.1395388888868
