场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,开机小时数,开机小时
W2P2,54,7523.897814611872,424.91200000000003,17.536,0.9123953400075934,0.47393651265289954,0.04380232999620326,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23"
W2P2,45,7207.663064200912,351.27419999999995,68.3982,0.658302859540795,0.4858549222797928,0.17084857022960254,全满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23"
W2P2,36,6896.216080251142,298.45219999999995,140.0762,0.3002208101033113,0.46582867983963355,0.3498895949483444,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W2P3,72,9820.624513736682,822.136,0.0,0.9999999999999992,0.22199258081611029,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W2P3,63,9450.727125222875,705.2182,7.5822,0.9353562050267707,0.24350668297183067,0.032321897486614605,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W2P3,54,9179.322423871132,616.5142000000001,43.3782,0.6301691504961974,0.23672287426335858,0.18491542475190123,部分满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23"
W2P3,45,8966.323995312025,526.4464,77.8104,0.33660948743307295,0.22946283773894205,0.33169525628346347,全不满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23"
W2P3,36,8754.478160806697,411.9984,87.86240000000001,0.25090884288783555,0.26260309278350513,0.3745455785560823,全不满足,12,"0,1,2,3,4,5,6,9,15,16,17,23"
W2P4,72,10369.134735958904,886.7760000000001,0.0,0.9999999999999983,0.16082216670451968,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W2P4,63,10049.118064905415,765.6318,3.3558,0.9605069905380598,0.17870052133616532,0.0197465047309702,部分满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23"
W2P4,54,9689.300497945207,652.9942,15.2182,0.8209033563997554,0.1915587084633289,0.08954832180012239,部分满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23"
W2P4,45,9457.551017534246,550.1264,36.8504,0.5663230240549829,0.19480343081291532,0.21683848797250857,全不满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23"
W2P4,36,9316.939463584475,427.5886,38.8126,0.543230711293132,0.23469967067583047,0.22838464435343406,全不满足,12,"0,1,2,3,4,5,6,7,15,16,17,23"
W3P1,72,6332.56210401446,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W3P1,63,5639.317990302239,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W3P1,54,5083.793933130391,229.8364,202.9564,0.48015880333999267,0.7154504036052096,0.25992059833000364,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W3P1,45,4688.294033089803,223.3262,320.9462,0.17794631422570578,0.6731269576417551,0.4110268428871472,部分满足,15,"0,1,2,3,4,5,6,8,9,10,12,13,14,15,23"
W3P1,36,4136.54670802892,223.3262,445.44620000000003,-0.14094103785666717,0.6002895904925541,0.5704705189283337,部分满足,12,"0,1,2,3,4,5,6,10,12,13,14,23"
W3P2,72,7714.449324847791,538.1664,3.7264000000000053,0.985730259630849,0.4907199636611402,0.007134870184575334,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W3P2,63,7162.556718873668,438.8926,28.95260000000001,0.8891299685992189,0.5291963270472635,0.05543501570039062,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W3P2,54,6771.917583130391,336.4962,51.05620000000001,0.804487248219346,0.583399940573466,0.09775637589032705,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23"
W3P2,45,6397.691986423136,278.0304,117.09040000000002,0.5516182890403615,0.5930587512075172,0.2241908554798193,部分满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23"
W3P2,36,6037.690399695585,245.10039999999998,208.6604,0.20096346787163982,0.5613180126002291,0.39951826606418017,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W3P3,72,9097.115535958905,700.1999999999999,0.0,0.9999999999999996,0.33738360208948454,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W3P3,63,8729.80953157208,599.0062,23.306200000000004,0.8692572646695836,0.3574411619574779,0.06537136766520812,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W3P3,54,8432.442159056318,522.284,71.084,0.6012341523617188,0.35338483632942114,0.19938292381914058,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W3P3,45,8160.694724200915,427.13,100.43,0.43660944687535064,0.3748280202570183,0.2816952765623247,部分满足,15,"0,1,2,3,4,5,6,7,8,9,13,15,16,17,23"
W3P3,36,7850.242346917809,345.2962,143.0962,0.19726130371367667,0.3819870418098511,0.40136934814316166,部分满足,12,"0,1,2,3,4,5,6,9,15,16,17,23"
W3P4,72,9645.625758181126,764.8399999999999,0.0,0.9999999999999996,0.2762131879778939,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W3P4,63,9312.379423635572,657.0717999999999,16.7318,0.885351514320954,0.2951537190791873,0.057324242839523094,部分满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23"
W3P4,54,8952.93997201928,560.1022,44.26220000000001,0.6967096066876798,0.30656390828504926,0.15164519665616008,全满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23"
W3P4,45,8655.561166423135,468.0122,76.6722,0.47463204056461566,0.31499048622698395,0.2626839797176922,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23"
W3P4,36,8425.045649695585,362.8224,95.98240000000001,0.3423160202823078,0.35061855670103087,0.32884198985884616,部分满足,12,"0,1,2,3,4,5,6,7,15,16,17,23"
W4P1,72,5986.190763736682,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W4P1,63,5254.921253794303,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,23"
W4P1,54,4673.211923871132,188.95420000000001,258.15819999999997,0.4112187601206033,0.7660647253998911,0.2943906199396983,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W4P1,45,4228.797641978691,188.95420000000001,382.65819999999997,0.12727169059120294,0.7234357893504288,0.43636415470439854,部分满足,15,"0,1,2,3,4,5,6,8,9,10,11,13,14,15,23"
W4P1,36,3562.1762191400308,188.95420000000001,507.15819999999997,-0.15667537893819755,0.66180877720504,0.5783376894690988,部分满足,12,"0,1,2,3,4,5,6,8,9,14,15,23"
W4P2,72,7233.459817903348,448.09619999999995,9.740200000000009,0.9684968723923124,0.5759555984555986,0.015751563803843703,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W4P2,63,6646.113663318112,353.7584,39.90240000000001,0.8709420341417029,0.6205204779987556,0.06452898292914853,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W4P2,54,6194.897462760021,267.272,77.916,0.7479930914477558,0.6691031545585104,0.12600345427612214,全满足,18,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,23"
W4P2,45,5822.496355312024,227.14600000000002,162.29000000000002,0.47509880911566627,0.6675360791545916,0.26245059544216676,部分满足,15,"0,1,2,3,4,5,6,8,9,12,13,14,15,16,23"
W4P2,36,5400.586885806697,203.0342,262.6782,0.15040914412870093,0.6366083190148912,0.42479542793564956,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W4P3,72,8585.92329151446,604.116,0.0,0.9999999999999994,0.42831024301612547,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W4P3,63,8169.131380778431,506.416,26.799999999999997,0.8815741796360616,0.45676342494261013,0.05921291018196922,全满足,21,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,21,22,23"
W4P3,54,7797.926538685946,414.7718,59.6558,0.7363885427437672,0.4864906155598475,0.1318057286281164,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,22,23"
W4P3,45,7422.120619756469,338.8422,108.2262,0.521762070154042,0.5040511109159568,0.23911896492297902,部分满足,15,"0,1,2,3,4,5,6,7,8,9,14,15,16,17,23"
W4P3,36,7031.468383028919,272.58639999999997,166.47039999999998,0.2643882952868292,0.5121234249713632,0.36780585235658536,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W4P4,72,9134.433513736683,668.7560000000001,0.0,0.9999999999999992,0.36713982890453484,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W4P4,63,8728.99523950859,561.1118,16.8558,0.9131063706941882,0.39809079401857933,0.04344681465290594,全满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23"
W4P4,54,8312.888423871133,469.30219999999997,49.5462,0.7445835180583767,0.4189791016688951,0.1277082409708117,全满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23"
W4P4,45,7927.457975312025,380.97220000000004,85.7162,0.5581229186213154,0.4423872251983255,0.22093854068934232,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23"
W4P4,36,7592.4621608066955,287.94640000000004,117.1904,0.3958697198709158,0.4846320160366552,0.30206514006454205,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W5P1,72,6228.421409570015,395.9442,158.64419999999998,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W5P1,63,5522.429291889541,305.3064,192.50639999999999,0.5301398550194041,0.6724953337195083,0.234930072490298,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W5P1,54,4941.235784982243,222.3924,234.0924,0.4286387932928166,0.7246664685782204,0.2856806033535915,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W5P1,45,4501.251055312024,212.7502,348.9502,0.14829952893510046,0.688606598167501,0.4258502355324497,部分满足,15,"0,1,2,3,4,5,6,8,10,11,12,13,14,15,23"
W5P1,36,3902.742985806696,212.7502,473.4502,-0.1555739425447267,0.6192185710194732,0.5777869712723633,部分满足,12,"0,1,2,3,4,5,6,8,10,11,15,23"
W5P2,72,7500.992463736682,505.7104,9.850400000000008,0.9648739435866347,0.5214338708456355,0.01756302820668261,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W5P2,63,6920.7352585562085,406.75260000000003,35.39260000000001,0.8737916770673609,0.5636731672781102,0.06310416146631961,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W5P2,54,6487.191546093353,303.7442,56.88420000000001,0.7971536568840711,0.623948645570247,0.10142317155796458,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23"
W5P2,45,6149.870408645357,253.6064,131.24640000000002,0.5319815996861963,0.6288071192295306,0.234009200156902,部分满足,15,"0,1,2,3,4,5,6,9,10,11,12,13,14,16,23"
W5P2,36,5784.835152473363,233.68220000000002,235.8222,0.15906928645294727,0.5817543671248566,0.4204653567735265,部分满足,12,"0,1,2,3,4,5,6,9,11,12,13,23"
W5P3,72,8847.55259151446,661.6200000000001,0.0,0.9999999999999991,0.3738928003633887,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W5P3,63,8446.723976016525,560.7422,23.6222,0.880424196405973,0.39848726695415243,0.05978790179701341,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W5P3,54,8176.843010908169,476.588,63.967999999999996,0.6761933687674005,0.409958896647353,0.16190331561629964,全满足,18,"0,1,2,3,4,5,6,7,8,9,11,12,13,15,16,17,21,23"
W5P3,45,7901.545173089801,388.96360000000004,100.8436,0.4895287269045811,0.43069055355522384,0.2552356365477094,部分满足,15,"0,1,2,3,4,5,6,8,9,12,13,15,16,17,23"
