产量/t,场景数,平均吨氨成本,最小吨氨成本,最大吨氨成本,平均购电量,平均上网量,平均自发自用占比,平均绿电比例,平均上网比例
36,24,6716.044834953704,3592.6176194444447,9347.38086388889,297.9932,215.2485333333333,0.17494072702625726,0.4666502004581901,0.4125296364868714
45,24,7068.093841018519,4253.1507622222225,9481.904137777778,355.49304166666667,148.248375,0.4228315477225468,0.47967998350946006,0.28858422613872664
54,24,7391.137009413581,4693.506190740741,9709.594764814816,417.36071666666663,85.61604999999999,0.6739994018052281,0.4832854000561251,0.16300029909738595
63,24,7793.115397156085,5272.31633968254,10066.513150793651,509.617025,53.37235833333333,0.8260013505418938,0.45332965930788865,0.08699932472905313
72,24,8293.781548553241,6001.41146388889,10384.35543611111,614.2966583333333,33.551991666666666,0.9125563153400268,0.418676036856184,0.04372184232998641
