场景,产量/t,吨氨成本/元,弃电/MWh,常规负荷缺供/MWh
W1P1,39.98444819277108,6143.942020952002,147.92579999999998,0.0
W1P2,30.537253012048193,6512.706262783122,20.052000000000003,0.0
W1P3,19.09317108433735,8374.933858393326,12.601800000000004,0.0
W1P4,13.909879518072291,10316.64165194193,19.664,0.0
W2P1,36.096000000000004,6198.7061170212755,98.99419999999998,0.13819999999999988
W2P2,23.88289156626506,7216.626248562262,9.382200000000003,0.13819999999999988
W2P3,11.615551807228917,11364.493977953112,13.320400000000001,0.13819999999999988
W2P4,6.248515662650603,18452.004845873755,22.924400000000002,0.13819999999999988
W3P1,42.92181686746988,5904.2720406068665,126.36819999999997,0.0
W3P2,33.09640481927711,6224.524150841412,3.726400000000006,0.0
W3P3,21.383132530120484,7790.455262564796,8.881784197001252e-16,0.0
W3P4,16.710361445783136,9038.398915614003,8.881784197001252e-16,0.0
W4P1,46.18642409638554,5916.8676784280115,177.2918,0.0
W4P2,39.34828915662651,5866.786972566282,13.32600000000001,0.0
W4P3,28.069749397590364,6845.3758774398975,3.5858000000000083,0.0
W4P4,23.396978313253015,7547.921721742256,3.5858000000000065,0.0
W5P1,43.377527710843374,5993.173672292921,158.64419999999998,0.0
W5P2,35.44262168674699,6086.149062921179,9.85040000000001,0.0
W5P3,24.172048192771083,7323.430667703412,5.329070518200751e-15,0.0
W5P4,19.499277108433734,8280.96824102222,1.7763568394002505e-15,0.0
W6P1,40.786539759036145,5886.725233945004,90.8262,0.0
W6P2,28.66120481927711,6589.078759752488,8.881784197001252e-16,0.0
W6P3,16.678554216867468,8932.22919556172,8.881784197001252e-16,0.0
W6P4,11.005185542168675,11972.408878005373,13.841600000000001,0.0
